subscription_id,customer_id,inventory_id,type,start_date,end_date
26,eafc0338-06d0-4b17-8730-fc324b80d919,136,rent,2025-04-13 03:27:08.416421,2025-04-20 03:27:08.416421
27,eafc0338-06d0-4b17-8730-fc324b80d919,4,flatrate,2025-08-09 03:27:08.416429,2025-09-08 03:27:08.416429
28,9e0e4a4d-c5cb-41d6-a233-6f06ee9a7edd,88,flatrate,2025-08-30 03:27:08.416445,2025-09-29 03:27:08.416445
29,9e0e4a4d-c5cb-41d6-a233-6f06ee9a7edd,48,flatrate,2025-11-15 03:27:08.416453,2025-12-15 03:27:08.416453
30,9e0e4a4d-c5cb-41d6-a233-6f06ee9a7edd,151,flatrate,2025-08-30 03:27:08.416461,2025-09-29 03:27:08.416461
31,9e0e4a4d-c5cb-41d6-a233-6f06ee9a7edd,147,flatrate,2025-01-21 03:27:08.416469,2025-02-20 03:27:08.416469
32,9e0e4a4d-c5cb-41d6-a233-6f06ee9a7edd,143,flatrate,2025-05-04 03:27:08.416477,2025-06-03 03:27:08.416477
33,6e1d6956-51eb-4e1d-9b86-765720054f94,143,flatrate,2025-04-02 03:27:08.416492,2025-05-02 03:27:08.416492
34,6e1d6956-51eb-4e1d-9b86-765720054f94,4,flatrate,2025-11-27 03:27:08.416501,2025-12-27 03:27:08.416501
35,6e1d6956-51eb-4e1d-9b86-765720054f94,91,rent,2025-02-02 03:27:08.416508,2025-02-09 03:27:08.416508
36,98aa92c2-4088-4fab-99ca-c5ebd33e0e9b,143,flatrate,2025-11-30 03:27:08.416521,2025-12-30 03:27:08.416521
37,f46adb1d-eabf-4506-80c0-584a4014efda,61,rent,2025-07-29 03:27:08.416534,2025-08-05 03:27:08.416534
38,92f634f4-dfcc-4047-8b94-8e1c45a51bce,100,flatrate,2025-07-27 03:27:08.416548,2025-08-26 03:27:08.416548
39,92f634f4-dfcc-4047-8b94-8e1c45a51bce,158,flatrate,2025-07-09 03:27:08.416556,2025-08-08 03:27:08.416556
40,92f634f4-dfcc-4047-8b94-8e1c45a51bce,143,flatrate,2025-09-12 03:27:08.416564,2025-10-12 03:27:08.416564
41,37217a33-efbd-4123-b20b-ee419ffab1ef,143,flatrate,2025-12-10 03:27:08.416577,2026-01-09 03:27:08.416577
42,37217a33-efbd-4123-b20b-ee419ffab1ef,151,flatrate,2025-09-12 03:27:08.416586,2025-10-12 03:27:08.416586
43,37217a33-efbd-4123-b20b-ee419ffab1ef,133,flatrate,2025-07-07 03:27:08.416594,2025-08-06 03:27:08.416594
44,1d28546f-2077-4969-ac5d-66bd3bf596c7,47,flatrate,2025-01-29 03:27:08.416608,2025-02-28 03:27:08.416608
45,1d28546f-2077-4969-ac5d-66bd3bf596c7,121,flatrate,2025-05-12 03:27:08.416617,2025-06-11 03:27:08.416617
46,1d28546f-2077-4969-ac5d-66bd3bf596c7,23,flatrate,2025-04-25 03:27:08.416624,2025-05-25 03:27:08.416624
47,1d28546f-2077-4969-ac5d-66bd3bf596c7,95,flatrate,2025-05-21 03:27:08.416632,2025-06-20 03:27:08.416632
48,1d28546f-2077-4969-ac5d-66bd3bf596c7,100,flatrate,2025-07-26 03:27:08.416640,2025-08-25 03:27:08.416640
49,3f33dc3d-5d88-4c58-99a8-6f856bdd3aea,112,rent,2025-10-04 03:27:08.416654,2025-10-11 03:27:08.416654
50,3f33dc3d-5d88-4c58-99a8-6f856bdd3aea,103,flatrate,2025-09-20 03:27:08.416661,2025-10-20 03:27:08.416661
51,a34f6c90-f1e2-4c8d-b849-073a22148f4d,125,rent,2025-04-10 03:27:08.416674,2025-04-17 03:27:08.416674
52,a34f6c90-f1e2-4c8d-b849-073a22148f4d,109,flatrate,2025-09-27 03:27:08.416682,2025-10-27 03:27:08.416682
53,a90f61f6-8e64-4c98-9469-c32d9adacdfa,158,flatrate,2025-05-06 03:27:08.416696,2025-06-05 03:27:08.416696
54,a90f61f6-8e64-4c98-9469-c32d9adacdfa,97,flatrate,2025-12-02 03:27:08.416704,2026-01-01 03:27:08.416704
55,a90f61f6-8e64-4c98-9469-c32d9adacdfa,138,rent,2025-10-16 03:27:08.416712,2025-10-23 03:27:08.416712
56,a90f61f6-8e64-4c98-9469-c32d9adacdfa,27,flatrate,2025-07-10 03:27:08.416720,2025-08-09 03:27:08.416720
57,d1383565-cc6c-4c28-8941-45e553367429,151,flatrate,2025-02-10 03:27:08.416733,2025-03-12 03:27:08.416733
58,d1383565-cc6c-4c28-8941-45e553367429,143,flatrate,2025-10-11 03:27:08.416742,2025-11-10 03:27:08.416742
59,c7a30727-e536-42da-b2d3-b6a2130f575d,143,flatrate,2025-06-18 03:27:08.416754,2025-07-18 03:27:08.416754
60,ff5a66ad-2429-413f-b37f-615f09000790,68,flatrate,2025-05-03 03:27:08.416767,2025-06-02 03:27:08.416767
61,ff5a66ad-2429-413f-b37f-615f09000790,93,flatrate,2025-10-25 03:27:08.416775,2025-11-24 03:27:08.416775
62,ff5a66ad-2429-413f-b37f-615f09000790,76,flatrate,2025-04-03 03:27:08.416783,2025-05-03 03:27:08.416783
63,fe4a5cf9-2a9c-477c-a54a-9de19012f252,62,flatrate,2025-02-28 03:27:08.416798,2025-03-30 03:27:08.416798
64,fe4a5cf9-2a9c-477c-a54a-9de19012f252,149,flatrate,2025-09-06 03:27:08.416806,2025-10-06 03:27:08.416806
65,fe4a5cf9-2a9c-477c-a54a-9de19012f252,152,rent,2025-10-22 03:27:08.416814,2025-10-29 03:27:08.416814
66,fe4a5cf9-2a9c-477c-a54a-9de19012f252,13,flatrate,2025-03-04 03:27:08.416822,2025-04-03 03:27:08.416822
67,fe4a5cf9-2a9c-477c-a54a-9de19012f252,2,flatrate,2025-08-08 03:27:08.416830,2025-09-07 03:27:08.416830
68,d10f5a66-5b07-4cd3-ac01-e9e9d650397d,93,flatrate,2025-06-30 03:27:08.416842,2025-07-30 03:27:08.416842
69,f0b46469-1479-46c3-8603-3b10ebec6d2e,40,flatrate,2025-03-25 03:27:08.416856,2025-04-24 03:27:08.416856
70,f0b46469-1479-46c3-8603-3b10ebec6d2e,130,rent,2025-01-22 03:27:08.416864,2025-01-29 03:27:08.416864
71,eb6b1f12-f0f7-4c2a-b32b-f5cffb4ff111,72,flatrate,2025-03-12 03:27:08.416880,2025-04-11 03:27:08.416880
72,eb6b1f12-f0f7-4c2a-b32b-f5cffb4ff111,118,flatrate,2025-02-13 03:27:08.416908,2025-03-15 03:27:08.416908
73,eb6b1f12-f0f7-4c2a-b32b-f5cffb4ff111,143,flatrate,2025-02-25 03:27:08.416916,2025-03-27 03:27:08.416916
74,eb6b1f12-f0f7-4c2a-b32b-f5cffb4ff111,91,rent,2025-08-20 03:27:08.416923,2025-08-27 03:27:08.416923
75,eb6b1f12-f0f7-4c2a-b32b-f5cffb4ff111,93,flatrate,2025-05-24 03:27:08.416930,2025-06-23 03:27:08.416930
76,206d918e-603a-40b5-8b52-b7205ae83d0a,53,flatrate,2025-12-27 03:27:08.416943,2026-01-26 03:27:08.416943
77,6c357f14-c322-4a28-a22a-045e81fce58a,48,flatrate,2025-02-27 03:27:08.416956,2025-03-29 03:27:08.416956
78,6c357f14-c322-4a28-a22a-045e81fce58a,25,flatrate,2025-07-15 03:27:08.416965,2025-08-14 03:27:08.416965
79,3dcba98e-79bb-489a-877e-df3b7a1d8303,76,flatrate,2025-05-11 03:27:08.416979,2025-06-10 03:27:08.416979
80,3dcba98e-79bb-489a-877e-df3b7a1d8303,40,flatrate,2025-10-02 03:27:08.416987,2025-11-01 03:27:08.416987
81,21be98e0-be64-446a-bf26-377104b6712f,100,flatrate,2025-07-04 03:27:08.417001,2025-08-03 03:27:08.417001
82,21be98e0-be64-446a-bf26-377104b6712f,101,rent,2025-10-23 03:27:08.417010,2025-10-30 03:27:08.417010
83,21be98e0-be64-446a-bf26-377104b6712f,27,flatrate,2025-10-26 03:27:08.417017,2025-11-25 03:27:08.417017
84,554531ab-42e2-4152-aef0-5a40dc9cfc5e,98,rent,2025-04-10 03:27:08.417032,2025-04-17 03:27:08.417032
85,554531ab-42e2-4152-aef0-5a40dc9cfc5e,74,flatrate,2025-07-24 03:27:08.417041,2025-08-23 03:27:08.417041
86,554531ab-42e2-4152-aef0-5a40dc9cfc5e,147,flatrate,2025-02-03 03:27:08.417048,2025-03-05 03:27:08.417048
87,554531ab-42e2-4152-aef0-5a40dc9cfc5e,109,flatrate,2025-12-19 03:27:08.417056,2026-01-18 03:27:08.417056
88,f39b8293-88ca-46b1-8790-9efef3dfc6a0,49,rent,2025-04-30 03:27:08.417070,2025-05-07 03:27:08.417070
89,f39b8293-88ca-46b1-8790-9efef3dfc6a0,80,flatrate,2025-02-26 03:27:08.417079,2025-03-28 03:27:08.417079
90,e6b60fca-ae21-4fdd-84ae-437bcadba067,135,flatrate,2025-01-06 03:27:08.417094,2025-02-05 03:27:08.417094
91,e6b60fca-ae21-4fdd-84ae-437bcadba067,25,flatrate,2025-05-01 03:27:08.417102,2025-05-31 03:27:08.417102
92,e6b60fca-ae21-4fdd-84ae-437bcadba067,48,flatrate,2025-12-12 03:27:08.417110,2026-01-11 03:27:08.417110
93,e6b60fca-ae21-4fdd-84ae-437bcadba067,141,rent,2025-04-11 03:27:08.417118,2025-04-18 03:27:08.417118
94,e6b60fca-ae21-4fdd-84ae-437bcadba067,115,flatrate,2025-01-24 03:27:08.417127,2025-02-23 03:27:08.417127
95,0683ba38-18f8-4652-af84-a9513802216e,44,flatrate,2025-05-16 03:27:08.417142,2025-06-15 03:27:08.417142
96,0683ba38-18f8-4652-af84-a9513802216e,27,flatrate,2025-03-11 03:27:08.417150,2025-04-10 03:27:08.417150
97,0683ba38-18f8-4652-af84-a9513802216e,100,flatrate,2025-01-09 03:27:08.417159,2025-02-08 03:27:08.417159
98,0683ba38-18f8-4652-af84-a9513802216e,131,flatrate,2025-06-18 03:27:08.417167,2025-07-18 03:27:08.417167
99,37c43bc9-b215-4f62-a8de-faa299b5db6b,27,flatrate,2025-12-24 03:27:08.417180,2026-01-23 03:27:08.417180
100,37c43bc9-b215-4f62-a8de-faa299b5db6b,90,flatrate,2025-07-04 03:27:08.417187,2025-08-03 03:27:08.417187
101,24a1cff9-bdcb-4261-afab-29a3d8198b9d,138,rent,2025-01-04 03:27:08.417200,2025-01-11 03:27:08.417200
102,6340b5fd-5890-47c5-9232-02bd507d4cb5,74,flatrate,2025-07-08 03:27:08.417213,2025-08-07 03:27:08.417213
103,fe677699-af9b-457d-b690-dc033668518c,152,rent,2025-12-28 03:27:08.417227,2026-01-04 03:27:08.417227
104,fe677699-af9b-457d-b690-dc033668518c,149,flatrate,2025-02-26 03:27:08.417234,2025-03-28 03:27:08.417234
105,fe677699-af9b-457d-b690-dc033668518c,151,flatrate,2025-06-30 03:27:08.417242,2025-07-30 03:27:08.417242
106,7b4d524b-919d-4c66-961d-318083a6abf7,12,rent,2025-02-17 03:27:08.417256,2025-02-24 03:27:08.417256
107,7b4d524b-919d-4c66-961d-318083a6abf7,56,flatrate,2025-08-06 03:27:08.417264,2025-09-05 03:27:08.417264
108,773f567e-79df-46cb-973c-937a37779c45,40,flatrate,2025-10-19 03:27:08.417280,2025-11-18 03:27:08.417280
109,773f567e-79df-46cb-973c-937a37779c45,25,flatrate,2025-07-12 03:27:08.417288,2025-08-11 03:27:08.417288
110,773f567e-79df-46cb-973c-937a37779c45,100,flatrate,2025-06-26 03:27:08.417298,2025-07-26 03:27:08.417298
111,773f567e-79df-46cb-973c-937a37779c45,72,flatrate,2025-12-06 03:27:08.417305,2026-01-05 03:27:08.417305
112,678cabe3-6b7e-4f28-9833-bd8f3dab98aa,72,flatrate,2025-02-20 03:27:08.417319,2025-03-22 03:27:08.417319
113,678cabe3-6b7e-4f28-9833-bd8f3dab98aa,76,flatrate,2025-09-11 03:27:08.417328,2025-10-11 03:27:08.417328
114,678cabe3-6b7e-4f28-9833-bd8f3dab98aa,109,flatrate,2025-12-01 03:27:08.417335,2025-12-31 03:27:08.417335
115,678cabe3-6b7e-4f28-9833-bd8f3dab98aa,44,flatrate,2025-03-19 03:27:08.417343,2025-04-18 03:27:08.417343
116,c7f95ae8-1749-49e9-852b-c273ac7adf68,14,rent,2025-07-11 03:27:08.417358,2025-07-18 03:27:08.417358
117,c7f95ae8-1749-49e9-852b-c273ac7adf68,111,flatrate,2025-08-08 03:27:08.417367,2025-09-07 03:27:08.417367
118,c7f95ae8-1749-49e9-852b-c273ac7adf68,93,flatrate,2025-02-07 03:27:08.417375,2025-03-09 03:27:08.417375
119,c7f95ae8-1749-49e9-852b-c273ac7adf68,100,flatrate,2025-02-08 03:27:08.417383,2025-03-10 03:27:08.417383
120,c7f95ae8-1749-49e9-852b-c273ac7adf68,85,flatrate,2025-04-19 03:27:08.417391,2025-05-19 03:27:08.417391
121,445d91c6-a665-4003-8146-537830935c85,48,flatrate,2025-08-28 03:27:08.417407,2025-09-27 03:27:08.417407
122,445d91c6-a665-4003-8146-537830935c85,11,flatrate,2025-05-17 03:27:08.417415,2025-06-16 03:27:08.417415
123,445d91c6-a665-4003-8146-537830935c85,143,flatrate,2025-11-30 03:27:08.417423,2025-12-30 03:27:08.417423
124,445d91c6-a665-4003-8146-537830935c85,74,flatrate,2025-08-08 03:27:08.417431,2025-09-07 03:27:08.417431
125,445d91c6-a665-4003-8146-537830935c85,27,flatrate,2025-10-05 03:27:08.417438,2025-11-04 03:27:08.417438
126,13923464-611c-47dc-8e38-58fb8d73e884,72,flatrate,2025-07-23 03:27:08.417452,2025-08-22 03:27:08.417452
127,13923464-611c-47dc-8e38-58fb8d73e884,51,flatrate,2025-11-25 03:27:08.417460,2025-12-25 03:27:08.417460
128,13923464-611c-47dc-8e38-58fb8d73e884,118,flatrate,2025-10-20 03:27:08.417468,2025-11-19 03:27:08.417468
129,13923464-611c-47dc-8e38-58fb8d73e884,153,flatrate,2025-10-29 03:27:08.417475,2025-11-28 03:27:08.417475
130,378f4792-1689-4d22-8c1c-82a9d6742b69,38,rent,2025-03-19 03:27:08.417489,2025-03-26 03:27:08.417489
131,378f4792-1689-4d22-8c1c-82a9d6742b69,95,flatrate,2025-08-19 03:27:08.417498,2025-09-18 03:27:08.417498
132,60c2df5d-7eee-48e4-a81c-5eb17b150f05,40,flatrate,2025-10-16 03:27:08.417510,2025-11-15 03:27:08.417510
133,84689d3c-3661-48e5-b111-395125213dd0,44,flatrate,2025-05-12 03:27:08.417524,2025-06-11 03:27:08.417524
134,84689d3c-3661-48e5-b111-395125213dd0,27,flatrate,2025-05-10 03:27:08.417532,2025-06-09 03:27:08.417532
135,84689d3c-3661-48e5-b111-395125213dd0,143,flatrate,2025-03-11 03:27:08.417540,2025-04-10 03:27:08.417540
136,bc8545bd-4ddc-4894-868a-64711d84871a,109,flatrate,2025-07-12 03:27:08.417554,2025-08-11 03:27:08.417554
137,bc8545bd-4ddc-4894-868a-64711d84871a,116,flatrate,2025-07-17 03:27:08.417563,2025-08-16 03:27:08.417563
138,bc8545bd-4ddc-4894-868a-64711d84871a,141,rent,2025-08-01 03:27:08.417570,2025-08-08 03:27:08.417570
139,bc8545bd-4ddc-4894-868a-64711d84871a,52,rent,2025-10-18 03:27:08.417578,2025-10-25 03:27:08.417578
140,bc8545bd-4ddc-4894-868a-64711d84871a,62,flatrate,2025-01-08 03:27:08.417586,2025-02-07 03:27:08.417586
141,e3e44ca5-9596-41c6-88e3-9cb10b49d195,135,flatrate,2025-07-24 03:27:08.417598,2025-08-23 03:27:08.417598
142,99d90ce8-8a8a-4747-a07d-44ebae75c349,27,flatrate,2025-11-13 03:27:08.417611,2025-12-13 03:27:08.417611
143,99d90ce8-8a8a-4747-a07d-44ebae75c349,53,flatrate,2025-06-14 03:27:08.417619,2025-07-14 03:27:08.417619
144,1a4ce3d8-12aa-4578-9813-5f16594e7a0b,19,flatrate,2025-07-28 03:27:08.417632,2025-08-27 03:27:08.417632
145,7b3585c9-a35c-421f-8545-8a1451fcc2e2,29,flatrate,2025-05-13 03:27:08.417646,2025-06-12 03:27:08.417646
146,7b3585c9-a35c-421f-8545-8a1451fcc2e2,143,flatrate,2025-10-29 03:27:08.417654,2025-11-28 03:27:08.417654
147,7b3585c9-a35c-421f-8545-8a1451fcc2e2,149,flatrate,2025-06-08 03:27:08.417662,2025-07-08 03:27:08.417662
148,7b3585c9-a35c-421f-8545-8a1451fcc2e2,100,flatrate,2025-02-16 03:27:08.417670,2025-03-18 03:27:08.417670
149,58021a90-e814-4398-82ce-bba0d98c6d8f,76,flatrate,2025-01-02 03:27:08.417683,2025-02-01 03:27:08.417683
150,58021a90-e814-4398-82ce-bba0d98c6d8f,65,flatrate,2025-02-17 03:27:08.417692,2025-03-19 03:27:08.417692
151,58021a90-e814-4398-82ce-bba0d98c6d8f,4,flatrate,2025-03-28 03:27:08.417700,2025-04-27 03:27:08.417700
152,58021a90-e814-4398-82ce-bba0d98c6d8f,9,flatrate,2025-10-18 03:27:08.417708,2025-11-17 03:27:08.417708
153,9e0e6149-d956-43cb-9bb8-423ce451790f,100,flatrate,2025-12-19 03:27:08.417721,2026-01-18 03:27:08.417721
154,9e0e6149-d956-43cb-9bb8-423ce451790f,151,flatrate,2025-01-23 03:27:08.417729,2025-02-22 03:27:08.417729
155,1081d653-b746-4935-a71e-4499bc003838,109,flatrate,2025-12-27 03:27:08.417741,2026-01-26 03:27:08.417741
156,1fd476e9-b29a-49bc-a6b9-6b843f9bd1e5,93,flatrate,2025-08-30 03:27:08.417754,2025-09-29 03:27:08.417754
157,982ab8fc-b0d2-407f-b0b0-7b8af2900f73,109,flatrate,2025-08-31 03:27:08.417767,2025-09-30 03:27:08.417767
158,982ab8fc-b0d2-407f-b0b0-7b8af2900f73,27,flatrate,2025-05-31 03:27:08.417775,2025-06-30 03:27:08.417775
159,982ab8fc-b0d2-407f-b0b0-7b8af2900f73,31,flatrate,2025-12-17 03:27:08.417784,2026-01-16 03:27:08.417784
160,d968dc90-f67e-4c8b-9c28-d86701059ecc,111,flatrate,2025-02-20 03:27:08.417796,2025-03-22 03:27:08.417796
161,403afcf9-46be-4ce2-8684-c9e6ed1cae1f,109,flatrate,2025-09-10 03:27:08.417809,2025-10-10 03:27:08.417809
162,403afcf9-46be-4ce2-8684-c9e6ed1cae1f,76,flatrate,2025-02-10 03:27:08.417818,2025-03-12 03:27:08.417818
163,403afcf9-46be-4ce2-8684-c9e6ed1cae1f,151,flatrate,2025-05-20 03:27:08.417826,2025-06-19 03:27:08.417826
164,342b80aa-a8a8-47ea-8110-70df3211bb98,48,flatrate,2025-07-22 03:27:08.417838,2025-08-21 03:27:08.417838
165,342b80aa-a8a8-47ea-8110-70df3211bb98,105,flatrate,2025-12-03 03:27:08.417847,2026-01-02 03:27:08.417847
166,9230758c-89a5-45bd-ac7a-623fe5c8305d,143,flatrate,2025-08-31 03:27:08.417859,2025-09-30 03:27:08.417859
167,9230758c-89a5-45bd-ac7a-623fe5c8305d,149,flatrate,2025-01-24 03:27:08.417867,2025-02-23 03:27:08.417867
168,9230758c-89a5-45bd-ac7a-623fe5c8305d,100,flatrate,2025-07-17 03:27:08.417875,2025-08-16 03:27:08.417875
169,4c05014f-0b23-4b2d-ba67-5076bee00cab,17,flatrate,2025-01-29 03:27:08.417907,2025-02-28 03:27:08.417907
170,4c05014f-0b23-4b2d-ba67-5076bee00cab,100,flatrate,2025-11-08 03:27:08.417916,2025-12-08 03:27:08.417916
171,7ea27646-f1a7-4b50-b7f2-4a91d669ba85,138,rent,2025-04-23 03:27:08.417930,2025-04-30 03:27:08.417930
172,7ea27646-f1a7-4b50-b7f2-4a91d669ba85,27,flatrate,2025-01-27 03:27:08.417938,2025-02-26 03:27:08.417938
173,7ea27646-f1a7-4b50-b7f2-4a91d669ba85,48,flatrate,2025-08-17 03:27:08.417946,2025-09-16 03:27:08.417946
174,7ea27646-f1a7-4b50-b7f2-4a91d669ba85,85,flatrate,2025-07-13 03:27:08.417955,2025-08-12 03:27:08.417955
175,0a447141-d369-4144-870f-3897e30af248,100,flatrate,2025-03-26 03:27:08.417970,2025-04-25 03:27:08.417970
176,0a447141-d369-4144-870f-3897e30af248,158,flatrate,2025-09-21 03:27:08.417978,2025-10-21 03:27:08.417978
177,0a447141-d369-4144-870f-3897e30af248,83,flatrate,2025-07-30 03:27:08.417985,2025-08-29 03:27:08.417985
178,0a447141-d369-4144-870f-3897e30af248,85,flatrate,2025-05-13 03:27:08.417993,2025-06-12 03:27:08.417993
179,0a447141-d369-4144-870f-3897e30af248,48,flatrate,2025-04-18 03:27:08.418001,2025-05-18 03:27:08.418001
180,9d02271b-3caa-4e1f-8154-0a13998f424c,143,flatrate,2025-12-02 03:27:08.418014,2026-01-01 03:27:08.418014
181,c1d1afd1-3add-4e50-98a1-f1165dffc08f,135,flatrate,2025-12-19 03:27:08.418026,2026-01-18 03:27:08.418026
182,c1d1afd1-3add-4e50-98a1-f1165dffc08f,76,flatrate,2025-01-04 03:27:08.418034,2025-02-03 03:27:08.418034
183,a7ac0cd2-3ba5-4385-b874-332db252f2f4,27,flatrate,2025-11-30 03:27:08.418048,2025-12-30 03:27:08.418048
184,a7ac0cd2-3ba5-4385-b874-332db252f2f4,131,flatrate,2025-10-02 03:27:08.418056,2025-11-01 03:27:08.418056
185,a7ac0cd2-3ba5-4385-b874-332db252f2f4,151,flatrate,2025-07-25 03:27:08.418064,2025-08-24 03:27:08.418064
186,81e282cb-fe6f-44fe-937f-bccedf412e2d,48,flatrate,2025-08-19 03:27:08.418077,2025-09-18 03:27:08.418077
187,81e282cb-fe6f-44fe-937f-bccedf412e2d,38,rent,2025-09-12 03:27:08.418085,2025-09-19 03:27:08.418085
188,825c8d54-49d7-4664-9607-fd591fb321f1,100,flatrate,2025-11-11 03:27:08.418099,2025-12-11 03:27:08.418099
189,825c8d54-49d7-4664-9607-fd591fb321f1,45,rent,2025-10-31 03:27:08.418107,2025-11-07 03:27:08.418107
190,825c8d54-49d7-4664-9607-fd591fb321f1,143,flatrate,2025-12-29 03:27:08.418114,2026-01-28 03:27:08.418114
191,14ed0c87-6cdc-4297-bcb8-7708789dfd6e,151,flatrate,2025-09-08 03:27:08.418127,2025-10-08 03:27:08.418127
192,af0ca92e-b1ff-4d84-87cd-d360284a640e,151,flatrate,2025-11-13 03:27:08.418142,2025-12-13 03:27:08.418142
193,af0ca92e-b1ff-4d84-87cd-d360284a640e,68,flatrate,2025-05-20 03:27:08.418150,2025-06-19 03:27:08.418150
194,af0ca92e-b1ff-4d84-87cd-d360284a640e,48,flatrate,2025-01-08 03:27:08.418157,2025-02-07 03:27:08.418157
195,af0ca92e-b1ff-4d84-87cd-d360284a640e,91,rent,2025-04-09 03:27:08.418165,2025-04-16 03:27:08.418165
196,af0ca92e-b1ff-4d84-87cd-d360284a640e,11,flatrate,2025-01-29 03:27:08.418173,2025-02-28 03:27:08.418173
197,d5cd27a9-974a-4ec2-b018-a8c55790b31d,156,flatrate,2025-08-25 03:27:08.418189,2025-09-24 03:27:08.418189
198,d5cd27a9-974a-4ec2-b018-a8c55790b31d,38,rent,2025-11-25 03:27:08.418196,2025-12-02 03:27:08.418196
199,d5cd27a9-974a-4ec2-b018-a8c55790b31d,123,flatrate,2025-12-29 03:27:08.418205,2026-01-28 03:27:08.418205
200,d5cd27a9-974a-4ec2-b018-a8c55790b31d,121,flatrate,2025-02-02 03:27:08.418213,2025-03-04 03:27:08.418213
201,d5cd27a9-974a-4ec2-b018-a8c55790b31d,48,flatrate,2025-10-06 03:27:08.418221,2025-11-05 03:27:08.418221
202,5860f0f0-ad64-42ed-b6e9-1ec0a2eb01c9,100,flatrate,2025-01-27 03:27:08.418236,2025-02-26 03:27:08.418236
203,5860f0f0-ad64-42ed-b6e9-1ec0a2eb01c9,48,flatrate,2025-05-03 03:27:08.418245,2025-06-02 03:27:08.418245
204,5860f0f0-ad64-42ed-b6e9-1ec0a2eb01c9,111,flatrate,2025-01-23 03:27:08.418252,2025-02-22 03:27:08.418252
205,5860f0f0-ad64-42ed-b6e9-1ec0a2eb01c9,65,flatrate,2025-03-29 03:27:08.418260,2025-04-28 03:27:08.418260
206,96914008-956f-41ac-8e74-6c88f19c66e8,131,flatrate,2025-02-23 03:27:08.418274,2025-03-25 03:27:08.418274
